image_to_process;rgb_color;r;g;b;hex_color;actual_name;closest_name;closet_name_r;closet_name_g;closet_name_b
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-1995-1996-home.jpg;(20, 16, 21);20;16;21;#141015;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-1999-2000-home.jpg;(174, 239, 247);174;239;247;#aeeff7;;paleturquoise;175;238;238
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2001-2002-away.jpg;(226, 69, 33);226;69;33;#e24521;;chocolate;210;105;30
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2001-2002-home.jpg;(64, 164, 188);64;164;188;#40a4bc;;steelblue;70;130;180
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2002-2003-away.jpg;(20, 15, 14);20;15;14;#140f0e;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2002-2004-home.jpg;(88, 176, 200);88;176;200;#58b0c8;;mediumturquoise;72;209;204
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2003-2005-away.jpg;(27, 34, 44);27;34;44;#1b222c;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2004-2005-home.jpg;(76, 169, 199);76;169;199;#4ca9c7;;mediumturquoise;72;209;204
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2005-2006-away.jpg;(247, 247, 245);247;247;245;#f7f7f5;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2005-2006-home.jpg;(252, 252, 249);252;252;249;#fcfcf9;;snow;255;250;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2006-2007-away.jpg;(253, 238, 51);253;238;51;#fdee33;;yellow;255;255;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2006-2007-home.jpg;(141, 189, 226);141;189;226;#8dbde2;;skyblue;135;206;235
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2007-2008-away.jpg;(21, 26, 52);21;26;52;#151a34;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2007-2008-home.jpg;(246, 248, 249);246;248;249;#f6f8f9;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2008-2009-away.jpg;(23, 22, 22);23;22;22;#171616;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2008-2009-home.jpg;(235, 238, 243);235;238;243;#ebeef3;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2009-2010-away.jpg;(110, 183, 80);110;183;80;#6eb750;;yellowgreen;154;205;50
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2009-2010-home.jpg;(132, 184, 219);132;184;219;#84b8db;;skyblue;135;206;235
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2010-2011-away.jpg;(29, 30, 41);29;30;41;#1d1e29;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2010-2011-home.jpg;(247, 247, 248);247;247;248;#f7f7f8;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2011-2012-away.jpg;(31, 32, 35);31;32;35;#1f2023;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2011-2012-home.jpg;(134, 177, 213);134;177;213;#86b1d5;;skyblue;135;206;235
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2012-2013-away.jpg;(235, 236, 237);235;236;237;#ebeced;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2012-2013-home.jpg;(22, 34, 49);22;34;49;#162231;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2014-2015-away.jpg;(236, 238, 245);236;238;245;#eceef5;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2014-2015-home.jpg;(126, 176, 229);126;176;229;#7eb0e5;;skyblue;135;206;235
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2015-2016-anniversary.jpg;(47, 81, 74);47;81;74;#2f514a;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2015-2016-away.jpg;(32, 35, 56);32;35;56;#202338;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2015-2016-home.jpg;(229, 232, 239);229;232;239;#e5e8ef;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2016-2017-away.jpg;(40, 41, 46);40;41;46;#28292e;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/1860-1860-2016-2017-home.jpg;(232, 234, 239);232;234;239;#e8eaef;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1969-1970-home.jpg;(217, 0, 24);217;0;24;#d90018;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1987-1989-home.jpg;(204, 32, 38);204;32;38;#cc2026;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1989-1990-away.jpg;(239, 239, 239);239;239;239;#efefef;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1990-1992-home.jpg;(221, 34, 38);221;34;38;#dd2226;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-away.jpg;(79, 79, 103);79;79;103;#4f4f67;;dimgrey;105;105;105
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-gk.jpg;(236, 236, 156);236;236;156;#ecec9c;;palegoldenrod;238;232;170
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-1999-2000-home.jpg;(238, 33, 50);238;33;50;#ee2132;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2000-2001-home.jpg;(229, 67, 51);229;67;51;#e54333;;tomato;255;99;71
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/aberdeen-2001-2002-away.jpg;(221, 221, 221);221;221;221;#dddddd;;gainsboro;220;220;220
