brand_id;brandname;homeawaythird;id;image_b;image_caption;image_cluster;image_color;image_content_url;image_g;image_id;image_r;season;team_id;teamcountry;teamname;urlname
67;Nike;Home;1;74.0;Boca Juniors 2018-2019 Home;13.0;rgb(14,45,74);https://footshirt.herokuapp.com/api/images/423/content;45.0;423;14.0;2018-2019;317;Argentina;Boca Juniors;Boca_Juniors_2018_2019_Home
67;Nike;Away;2;242.0;Boca Juniors 2018-2019 Away;11.0;rgb(226,230,242);https://footshirt.herokuapp.com/api/images/424/content;230.0;424;226.0;2018-2019;317;Argentina;Boca Juniors;Boca_Juniors_2018_2019_Away
67;Nike;Third;3;74.0;Boca Juniors 2018-2019 Third;3.0;rgb(175,218,74);https://footshirt.herokuapp.com/api/images/425/content;218.0;425;175.0;2018-2019;317;Argentina;Boca Juniors;Boca_Juniors_2018_2019_Third
67;Nike;Home;4;76.0;Boca Juniors 2017-2018 Home;13.0;rgb(28,49,76);https://footshirt.herokuapp.com/api/images/426/content;49.0;426;28.0;2017-2018;317;Argentina;Boca Juniors;Boca_Juniors_2017_2018_Home
67;Nike;Away;5;2.0;Boca Juniors 2017-2018 Away;2.0;rgb(253,214,2);https://footshirt.herokuapp.com/api/images/427/content;214.0;427;253.0;2017-2018;317;Argentina;Boca Juniors;Boca_Juniors_2017_2018_Away
67;Nike;Third;6;43.0;Boca Juniors 2017-2018 Third;13.0;rgb(14,23,43);https://footshirt.herokuapp.com/api/images/428/content;23.0;428;14.0;2017-2018;317;Argentina;Boca Juniors;Boca_Juniors_2017_2018_Third
67;Nike;Home;7;64.0;Boca Juniors 2016-2017 Home;13.0;rgb(27,40,64);https://footshirt.herokuapp.com/api/images/429/content;40.0;429;27.0;2016-2017;317;Argentina;Boca Juniors;Boca_Juniors_2016_2017_Home
67;Nike;Away;8;237.0;Boca Juniors 2016-2017 Away;11.0;rgb(225,229,237);https://footshirt.herokuapp.com/api/images/430/content;229.0;430;225.0;2016-2017;317;Argentina;Boca Juniors;Boca_Juniors_2016_2017_Away
67;Nike;Home;9;160.0;Boca Juniors 2015-2016 Home;7.0;rgb(2,73,160);https://footshirt.herokuapp.com/api/images/431/content;73.0;431;2.0;2015-2016;317;Argentina;Boca Juniors;Boca_Juniors_2015_2016_Home
67;Nike;Home;10;84.0;Boca Juniors 2014-2015 Home;7.0;rgb(14,55,84);https://footshirt.herokuapp.com/api/images/432/content;55.0;432;14.0;2014-2015;317;Argentina;Boca Juniors;Boca_Juniors_2014_2015_Home
67;Nike;Away;11;246.0;Boca Juniors 2014-2015 Away;11.0;rgb(246,246,246);https://footshirt.herokuapp.com/api/images/433/content;246.0;433;246.0;2014-2015;317;Argentina;Boca Juniors;Boca_Juniors_2014_2015_Away
67;Nike;Home;12;109.0;Boca Juniors 2013-2014 Home;7.0;rgb(3,51,109);https://footshirt.herokuapp.com/api/images/434/content;51.0;434;3.0;2013-2014;317;Argentina;Boca Juniors;Boca_Juniors_2013_2014_Home
67;Nike;Away;13;186.0;Boca Juniors 2013-2014 Away;9.0;rgb(254,140,186);https://footshirt.herokuapp.com/api/images/435/content;140.0;435;254.0;2013-2014;317;Argentina;Boca Juniors;Boca_Juniors_2013_2014_Away
67;Nike;Home;14;47.0;Boca Juniors 2012-2013 Home;13.0;rgb(10,30,47);https://footshirt.herokuapp.com/api/images/436/content;30.0;436;10.0;2012-2013;317;Argentina;Boca Juniors;Boca_Juniors_2012_2013_Home
67;Nike;Away;15;238.0;Boca Juniors 2012-2013 Away;11.0;rgb(238,238,238);https://footshirt.herokuapp.com/api/images/437/content;238.0;437;238.0;2012-2013;317;Argentina;Boca Juniors;Boca_Juniors_2012_2013_Away
67;Nike;Home;16;141.0;Boca Juniors 2011-2012 Home;7.0;rgb(2,58,141);https://footshirt.herokuapp.com/api/images/438/content;58.0;438;2.0;2011-2012;317;Argentina;Boca Juniors;Boca_Juniors_2011_2012_Home
67;Nike;Away;17;94.0;Boca Juniors 2011-2012 Away;8.0;rgb(95,95,94);https://footshirt.herokuapp.com/api/images/439/content;95.0;439;95.0;2011-2012;317;Argentina;Boca Juniors;Boca_Juniors_2011_2012_Away
67;Nike;Home;18;169.0;Boca Juniors 2010-2011 Home;7.0;rgb(38,92,169);https://footshirt.herokuapp.com/api/images/440/content;92.0;440;38.0;2010-2011;317;Argentina;Boca Juniors;Boca_Juniors_2010_2011_Home
67;Nike;Home;19;46.0;Boca Juniors 2009-2010 Home;13.0;rgb(30,31,46);https://footshirt.herokuapp.com/api/images/441/content;31.0;441;30.0;2009-2010;317;Argentina;Boca Juniors;Boca_Juniors_2009_2010_Home
67;Nike;Away;20;238.0;Boca Juniors 2009-2010 Away;11.0;rgb(231,237,238);https://footshirt.herokuapp.com/api/images/442/content;237.0;442;231.0;2009-2010;317;Argentina;Boca Juniors;Boca_Juniors_2009_2010_Away
67;Nike;Home;21;70.0;Boca Juniors 2007-2008 Home;13.0;rgb(38,40,70);https://footshirt.herokuapp.com/api/images/443/content;40.0;443;38.0;2007-2008;317;Argentina;Boca Juniors;Boca_Juniors_2007_2008_Home
67;Nike;Away;22;113.0;Boca Juniors 2007-2008 Away;1.0;rgb(210,172,113);https://footshirt.herokuapp.com/api/images/444/content;172.0;444;210.0;2007-2008;317;Argentina;Boca Juniors;Boca_Juniors_2007_2008_Away
67;Nike;Home;23;81.0;Boca Juniors 2006-2007 Home;13.0;rgb(34,41,81);https://footshirt.herokuapp.com/api/images/445/content;41.0;445;34.0;2006-2007;317;Argentina;Boca Juniors;Boca_Juniors_2006_2007_Home
67;Nike;Home;24;147.0;Boca Juniors 2005-2006 Home;7.0;rgb(30,67,147);https://footshirt.herokuapp.com/api/images/446/content;67.0;446;30.0;2005-2006;317;Argentina;Boca Juniors;Boca_Juniors_2005_2006_Home
67;Nike;Away;25;248.0;Boca Juniors 2005-2006 Away;11.0;rgb(247,249,248);https://footshirt.herokuapp.com/api/images/447/content;249.0;447;247.0;2005-2006;317;Argentina;Boca Juniors;Boca_Juniors_2005_2006_Away
67;Nike;Home;26;158.0;Boca Juniors 2004-2005 Home;7.0;rgb(19,75,158);https://footshirt.herokuapp.com/api/images/448/content;75.0;448;19.0;2004-2005;317;Argentina;Boca Juniors;Boca_Juniors_2004_2005_Home
67;Nike;Away;27;241.0;Boca Juniors 2004-2005 Away;11.0;rgb(238,240,241);https://footshirt.herokuapp.com/api/images/449/content;240.0;449;238.0;2004-2005;317;Argentina;Boca Juniors;Boca_Juniors_2004_2005_Away
67;Nike;Other;28;146.0;Boca Juniors 2004-2005 Anniversary Home;7.0;rgb(39,54,146);https://footshirt.herokuapp.com/api/images/450/content;54.0;450;39.0;2004-2005;317;Argentina;Boca Juniors;Boca_Juniors_2004_2005_Anniversary_Home
67;Nike;Other;29;252.0;Boca Juniors 2004-2005 Anniversary Away;11.0;rgb(251,251,252);https://footshirt.herokuapp.com/api/images/451/content;251.0;451;251.0;2004-2005;317;Argentina;Boca Juniors;Boca_Juniors_2004_2005_Anniversary_Away
67;Nike;Home;30;161.0;Boca Juniors 2003-2004 Home;8.0;rgb(73,93,161);https://footshirt.herokuapp.com/api/images/452/content;93.0;452;73.0;2003-2004;317;Argentina;Boca Juniors;Boca_Juniors_2003_2004_Home
67;Nike;Away;31;65.0;Boca Juniors 2003-2004 Away;2.0;rgb(220,200,65);https://footshirt.herokuapp.com/api/images/453/content;200.0;453;220.0;2003-2004;317;Argentina;Boca Juniors;Boca_Juniors_2003_2004_Away
67;Nike;Home;32;159.0;Boca Juniors 2002-2003 Home;8.0;rgb(80,86,159);https://footshirt.herokuapp.com/api/images/454/content;86.0;454;80.0;2002-2003;317;Argentina;Boca Juniors;Boca_Juniors_2002_2003_Home
67;Nike;Away;33;37.0;Boca Juniors 2002-2003 Away;1.0;rgb(221,172,37);https://footshirt.herokuapp.com/api/images/455/content;172.0;455;221.0;2002-2003;317;Argentina;Boca Juniors;Boca_Juniors_2002_2003_Away
67;Nike;Home;34;150.0;Boca Juniors 2001-2002 Home;7.0;rgb(57,64,150);https://footshirt.herokuapp.com/api/images/456/content;64.0;456;57.0;2001-2002;317;Argentina;Boca Juniors;Boca_Juniors_2001_2002_Home
67;Nike;Away;35;36.0;Boca Juniors 2001-2002 Away;2.0;rgb(244,207,36);https://footshirt.herokuapp.com/api/images/457/content;207.0;457;244.0;2001-2002;317;Argentina;Boca Juniors;Boca_Juniors_2001_2002_Away
67;Nike;Home;36;155.0;Boca Juniors 2000-2001 Home;7.0;rgb(62,75,155);https://footshirt.herokuapp.com/api/images/458/content;75.0;458;62.0;2000-2001;317;Argentina;Boca Juniors;Boca_Juniors_2000_2001_Home
67;Nike;Away;37;82.0;Boca Juniors 2000-2001 Away;3.0;rgb(216,205,82);https://footshirt.herokuapp.com/api/images/459/content;205.0;459;216.0;2000-2001;317;Argentina;Boca Juniors;Boca_Juniors_2000_2001_Away
67;Nike;Home;38;39.0;Boca Juniors 1997-1999 Home;13.0;rgb(14,19,39);https://footshirt.herokuapp.com/api/images/460/content;19.0;460;14.0;1997-1999;317;Argentina;Boca Juniors;Boca_Juniors_1997_1999_Home
67;Nike;Away;39;33.0;Boca Juniors 1997-1999 Away;13.0;rgb(15,19,33);https://footshirt.herokuapp.com/api/images/461/content;19.0;461;15.0;1997-1999;317;Argentina;Boca Juniors;Boca_Juniors_1997_1999_Away
67;Nike;Home;40;40.0;Boca Juniors 1996-1997 Home;13.0;rgb(13,20,40);https://footshirt.herokuapp.com/api/images/462/content;20.0;462;13.0;1996-1997;317;Argentina;Boca Juniors;Boca_Juniors_1996_1997_Home
67;Nike;Away;41;238.0;Boca Juniors 1996-1997 Away;11.0;rgb(234,237,238);https://footshirt.herokuapp.com/api/images/463/content;237.0;463;234.0;1996-1997;317;Argentina;Boca Juniors;Boca_Juniors_1996_1997_Away
